datevente,nbrebarque,poids,valeur,site
01/12/2015,798,158827,9677407,Lassargua
02/12/2015,997,"211102,5","12393033,5",Lassargua
03/12/2015,1013,218784,12077942,Lassargua
04/12/2015,1014,218785,12077943,Lassargua
05/12/2015,1113,"244829,5","12626290,5",Lassargua
06/12/2015,1071,"226078,5",11808090,Lassargua
07/12/2015,1030,216946,"11483031,5",Lassargua
08/12/2015,1001,209243,11003099,Lassargua
09/12/2015,965,197586,10318102,Lassargua
10/12/2015,966,197587,10318103,Lassargua
11/12/2015,967,197588,10318104,Lassargua
12/12/2015,1073,225599,11782287,Lassargua
13/12/2015,972,194637,"10129965,5",Lassargua
14/12/2015,955,"193671,5",9862980,Lassargua
15/12/2015,834,"159757,5","7923184,5",Lassargua
16/12/2015,723,"129897,5",6450356,Lassargua
17/12/2015,686,113054,"5664231,5",Lassargua
18/12/2015,687,113055,"5664232,5",Lassargua
19/12/2015,806,"136675,5","7190980,5",Lassargua
20/12/2015,420,66915,"3585888,5",Lassargua
21/12/2015,329,44625,"2517238,5",Lassargua
22/12/2015,308,"41253,5","2359133,5",Lassargua
23/12/2015,326,44367,"2501760,5",Lassargua
24/12/2015,327,44368,"2501761,5",Lassargua
25/12/2015,328,44369,"2501762,5",Lassargua
26/12/2015,471,69267,"3899405,5",Lassargua
27/12/2015,347,46988,2672662,Lassargua
28/12/2015,355,53639,"3027174,5",Lassargua
29/12/2015,374,54191,"3122830,5",Lassargua
30/12/2015,427,63659,"3672092,5",Lassargua
31/12/2015,400,"59573,5","3451809,5",Lassargua
01/01/2016,401,"59574,5","3451810,5",Lassargua
02/01/2016,251,49184,2879892,Lassargua
03/01/2016,196,"35647,5","2145268,5",Lassargua
04/01/2016,212,39457,2412118,Lassargua
05/01/2016,225,"42408,5",2602338,Lassargua
06/01/2016,194,36939,"2228869,5",Lassargua
07/01/2016,120,"19793,5",1192795,Lassargua
08/01/2016,73,9153,"503668,5",Lassargua
01/12/2015,394,59100,3290968,Labouirda
02/12/2015,537,109809,5955286,Labouirda
03/12/2015,611,130531,7223960,Labouirda
04/12/2015,685,151253,8492634,Labouirda
05/12/2015,631,134007,7038750,Labouirda
06/12/2015,519,"91155,5","4658281,5",Labouirda
07/12/2015,526,92829,"4631026,5",Labouirda
08/12/2015,454,87290,4077035,Labouirda
09/12/2015,463,88088,"4275355,5",Labouirda
10/12/2015,464,88089,"4275356,5",Labouirda
11/12/2015,465,88090,"4275357,5",Labouirda
12/12/2015,596,"114227,5",5544730,Labouirda
13/12/2015,599,112018,5492946,Labouirda
14/12/2015,498,"90725,5","4276385,5",Labouirda
15/12/2015,512,93393,"4435704,5",Labouirda
16/12/2015,511,96343,4635534,Labouirda
17/12/2015,507,92881,"4471690,5",Labouirda
18/12/2015,508,92882,"4471691,5",Labouirda
19/12/2015,506,91716,"4613664,5",Labouirda
20/12/2015,171,"23610,5",1218555,Labouirda
21/12/2015,29,"4495,5",219557,Labouirda
22/12/2015,260,"39791,5",1988175,Labouirda
23/12/2015,324,51421,"2633662,5",Labouirda
24/12/2015,325,51422,"2633663,5",Labouirda
25/12/2015,326,51423,"2633664,5",Labouirda
26/12/2015,399,"67439,5","3548756,5",Labouirda
27/12/2015,293,"39095,5",2144346,Labouirda
28/12/2015,225,"31151,5","1691399,5",Labouirda
29/12/2015,247,"32519,5",1767987,Labouirda
30/12/2015,284,41185,"2232034,5",Labouirda
31/12/2015,261,37859,2058946,Labouirda
01/01/2016,262,37860,2058947,Labouirda
02/01/2016,245,45807,"2459072,5",Labouirda
03/01/2016,204,36031,"1926183,5",Labouirda
04/01/2016,211,"39805,5",2107758,Labouirda
05/01/2016,220,"39143,5","2106040,5",Labouirda
06/01/2016,202,39595,2153339,Labouirda
07/01/2016,193,"36335,5",1954301,Labouirda
08/01/2016,194,"36336,5",1954302,Labouirda
09/01/2016,187,"36274,5",1958367,Labouirda
10/01/2016,147,22203,1173945,Labouirda
11/01/2016,148,22204,1173946,Labouirda
12/01/2016,131,20742,1122306,Labouirda
13/01/2016,109,15950,"828981,5",Labouirda
14/01/2016,116,12708,666614,Labouirda
15/01/2016,117,12709,666615,Labouirda
16/01/2016,72,11540,636569,Labouirda
17/01/2016,149,21311,"1119405,5",Labouirda
18/01/2016,141,15045,743857,Labouirda
19/01/2016,8,"524,5",27274,Labouirda
20/01/2016,15,2133,117315,Labouirda
21/01/2016,6,874,52440,Labouirda
22/01/2016,7,875,52441,Labouirda
23/01/2016,14,2703,157350,Labouirda
24/01/2016,11,"2039,5",110636,Labouirda
25/01/2016,12,2338,124202,Labouirda
26/01/2016,10,"2897,5",151180,Labouirda
27/01/2016,4,"1280,5","67866,5",Labouirda
28/01/2016,18,3036,160908,Labouirda
29/01/2016,19,3037,160909,Labouirda
30/01/2016,9,"2201,5",114478,Labouirda
31/01/2016,9,"2089,5","110743,5",Labouirda
01/02/2016,10,"2192,5",114010,Labouirda
02/02/2016,10,"2001,5",104078,Labouirda
03/02/2016,11,2158,112216,Labouirda
04/02/2016,15,"2814,5",146354,Labouirda
05/02/2016,16,"2815,5",146355,Labouirda
06/02/2016,11,"2676,5",139178,Labouirda
07/02/2016,12,"2677,5",139179,Labouirda
08/02/2016,13,"2678,5",139180,Labouirda
09/02/2016,14,"2679,5",139181,Labouirda
10/02/2016,8,1765,93545,Labouirda
11/02/2016,4,"1111,5","58909,5",Labouirda
12/02/2016,0,0,0,Labouirda
13/02/2016,3,"974,5",50674,Labouirda
14/02/2016,0,0,0,Labouirda
15/02/2016,0,0,0,Labouirda
16/02/2016,0,0,0,Labouirda
17/02/2016,0,0,0,Labouirda
18/02/2016,6,1225,63700,Labouirda
19/02/2016,0,0,0,Labouirda
20/02/2016,8,1518,78936,Labouirda
21/02/2016,6,1122,58344,Labouirda
22/02/2016,8,"1021,5",53339,Labouirda
23/02/2016,7,"791,5",41431,Labouirda
24/02/2016,4,"372,5","19742,5",Labouirda
25/02/2016,11,"1552,5",81027,Labouirda
26/02/2016,0,0,0,Labouirda
27/02/2016,2,"539,5",28054,Labouirda
28/02/2016,9,797,"41814,5",Labouirda
29/02/2016,8,"1050,5","54866,5",Labouirda
01/03/2016,6,861,"45216,5",Labouirda
02/03/2016,5,561,"29443,5",Labouirda
03/03/2016,4,"784,5",41178,Labouirda
04/03/2016,0,0,0,Labouirda
05/03/2016,7,"1621,5",84696,Labouirda
06/03/2016,8,1687,87724,Labouirda
07/03/2016,6,1583,"82809,5",Labouirda
08/03/2016,0,0,0,Labouirda
09/03/2016,0,0,0,Labouirda
10/03/2016,0,0,0,Labouirda
11/03/2016,0,0,0,Labouirda
12/03/2016,12,2552,133048,Labouirda
13/03/2016,7,901,46852,Labouirda
14/03/2016,7,1873,97396,Labouirda
15/03/2016,12,1315,68711,Labouirda
16/03/2016,4,531,27612,Labouirda
17/03/2016,6,599,"31378,5",Labouirda
18/03/2016,0,0,0,Labouirda
19/03/2016,0,0,0,Labouirda
20/03/2016,0,0,0,Labouirda
21/03/2016,7,967,50284,Labouirda
22/03/2016,5,638,33176,Labouirda
23/03/2016,5,"459,5",23894,Labouirda
24/03/2016,3,231,12012,Labouirda
25/03/2016,0,0,0,Labouirda
26/03/2016,5,496,25792,Labouirda
27/03/2016,6,"657,5",34190,Labouirda
01/12/2015,817,149097,7679043,Ntireft
02/12/2015,840,"167403,5",8422391,Ntireft
03/12/2015,852,169130,8573233,Ntireft
04/12/2015,0,0,0,Ntireft
05/12/2015,862,"171307,5","8027725,5",Ntireft
06/12/2015,852,154530,7500683,Ntireft
07/12/2015,829,"151185,5",7507506,Ntireft
08/12/2015,843,155362,7544437,Ntireft
09/12/2015,759,"128392,5",6213602,Ntireft
10/12/2015,0,0,0,Ntireft
11/12/2015,0,0,0,Ntireft
12/12/2015,870,"176436,5","8799538,5",Ntireft
13/12/2015,832,"149227,5",7295473,Ntireft
14/12/2015,756,"123652,5","5582960,5",Ntireft
15/12/2015,703,111019,5403436,Ntireft
16/12/2015,746,111365,"5255807,5",Ntireft
17/12/2015,699,"97779,5","4531799,5",Ntireft
18/12/2015,0,0,0,Ntireft
19/12/2015,645,89428,4051458,Ntireft
20/12/2015,227,28463,1445712,Ntireft
21/12/2015,0,0,0,Ntireft
22/12/2015,343,46994,2290395,Ntireft
23/12/2015,268,"25875,5",1315831,Ntireft
24/12/2015,0,0,0,Ntireft
25/12/2015,0,0,0,Ntireft
26/12/2015,524,"56342,5",2723100,Ntireft
27/12/2015,420,36094,"1767666,5",Ntireft
28/12/2015,219,19043,983180,Ntireft
29/12/2015,385,"36746,5",1841212,Ntireft
30/12/2015,448,"45888,5",2213565,Ntireft
31/12/2015,245,"27406,5",1420584,Ntireft
01/01/2016,0,0,0,Ntireft
02/01/2016,399,42800,"2145227,5",Ntireft
03/01/2016,339,33198,1669643,Ntireft
04/01/2016,366,"38287,5",1979344,Ntireft
05/01/2016,378,46675,"2449111,5",Ntireft
06/01/2016,308,"38983,5","2006134,5",Ntireft
07/01/2016,260,"24138,5","1255976,5",Ntireft
08/01/2016,0,0,0,Ntireft
09/01/2016,217,"21030,5","1100885,5",Ntireft
10/01/2016,230,"17473,5","930199,5",Ntireft
11/01/2016,0,0,0,Ntireft
12/01/2016,254,"19411,5",999435,Ntireft
13/01/2016,98,8804,456497,Ntireft
14/01/2016,74,9248,449382,Ntireft
15/01/2016,0,0,0,Ntireft
16/01/2016,30,2749,"136964,5",Ntireft
17/01/2016,9,"1416,5","70250,5",Ntireft
01/12/2015,209,"33488,5",1799037,Imoutlan
02/12/2015,247,"41386,5",2200012,Imoutlan
03/12/2015,269,51993,2704551,Imoutlan
04/12/2015,0,0,0,Imoutlan
05/12/2015,272,52058,"2417098,5",Imoutlan
06/12/2015,244,"38318,5","1917850,5",Imoutlan
07/12/2015,253,40337,"2042478,5",Imoutlan
08/12/2015,254,"41645,5",2123636,Imoutlan
09/12/2015,221,"33424,5","1758060,5",Imoutlan
10/12/2015,0,0,0,Imoutlan
11/12/2015,0,0,0,Imoutlan
12/12/2015,270,"52337,5",2551734,Imoutlan
13/12/2015,260,"41415,5","2087458,5",Imoutlan
14/12/2015,231,"30858,5",1538199,Imoutlan
15/12/2015,229,30033,"1472722,5",Imoutlan
16/12/2015,216,"28581,5","1428040,5",Imoutlan
17/12/2015,239,32496,"1608104,5",Imoutlan
18/12/2015,0,0,0,Imoutlan
19/12/2015,251,"38900,5",1969383,Imoutlan
20/12/2015,15,1479,79028,Imoutlan
21/12/2015,0,0,0,Imoutlan
22/12/2015,215,36468,"1927878,5",Imoutlan
23/12/2015,172,"18834,5","1036281,5",Imoutlan
24/12/2015,173,"18835,5","1036282,5",Imoutlan
25/12/2015,174,"18836,5","1036283,5",Imoutlan
26/12/2015,220,32136,"1682835,5",Imoutlan
27/12/2015,152,16376,924077,Imoutlan
28/12/2015,151,16135,934489,Imoutlan
29/12/2015,163,17396,"987380,5",Imoutlan
30/12/2015,165,"16775,5","875541,5",Imoutlan
31/12/2015,147,14038,"749340,5",Imoutlan
01/01/2016,148,14039,"749341,5",Imoutlan
02/01/2016,154,22199,1190107,Imoutlan
03/01/2016,130,"13133,5",702658,Imoutlan
04/01/2016,153,"16288,5","872558,5",Imoutlan
05/01/2016,137,14062,"763679,5",Imoutlan
06/01/2016,120,"12405,5",698604,Imoutlan
07/01/2016,111,"10448,5","600505,5",Imoutlan
08/01/2016,112,"10449,5","600506,5",Imoutlan
09/01/2016,108,"12710,5",741221,Imoutlan
10/01/2016,109,11009,"623493,5",Imoutlan
11/01/2016,110,11010,"623494,5",Imoutlan
12/01/2016,124,"9190,5","488133,5",Imoutlan
